2026 年 2 月分车型 TP重心 (数据桶),品牌,子车型,日期 年/月,燃料类型 (组),燃料类型 (组) 1,车型,车身形式,TP重心,销量,2026 年 2 月分车型 TP重心
350K,比亚迪,秦L DM-i,2026年2月,新能源,PHEV 和 REEV,秦,轿车,,,
350K,比亚迪,秦L EV,2026年2月,新能源,BEV,秦,轿车,,,
350K,比亚迪,秦PLUS DM-i,2026年2月,新能源,PHEV 和 REEV,秦,轿车,,,
350K,比亚迪,秦PLUS EV,2026年2月,新能源,BEV,秦,轿车,,,
350K,荣威,荣威i6 MAX EV,2026年2月,新能源,BEV,荣威i6,轿车,,,
350K,瑞风,瑞风E3,2026年2月,新能源,BEV,瑞风M3,MPV,,,
350K,瑞风,瑞风E4,2026年2月,新能源,BEV,瑞风M4,MPV,,,
350K,瑞风,瑞风M3 PHEV,2026年2月,新能源,PHEV 和 REEV,瑞风M3,MPV,,,
350K,瑞风,瑞风RF8 PHEV,2026年2月,新能源,PHEV 和 REEV,瑞风RF8,MPV,,,
350K,奇瑞,瑞虎7 C-DM,2026年2月,新能源,PHEV 和 REEV,瑞虎7,SUV,,,
350K,奇瑞,瑞虎7 PHEV,2026年2月,新能源,PHEV 和 REEV,瑞虎7,SUV,,,
350K,奇瑞,瑞虎8 PHEV,2026年2月,新能源,PHEV 和 REEV,瑞虎8,SUV,,,
350K,奇瑞,瑞虎8 PLUS PHEV,2026年2月,新能源,PHEV 和 REEV,瑞虎8,SUV,,,
350K,奇瑞,瑞虎9 C-DM,2026年2月,新能源,PHEV 和 REEV,瑞虎9,SUV,,,
350K,捷途,山海L6,2026年2月,新能源,PHEV 和 REEV,山海L6,SUV,,,
350K,捷途,山海L7,2026年2月,新能源,PHEV 和 REEV,山海L7,SUV,,,
350K,捷途,山海L7 PLUS,2026年2月,新能源,PHEV 和 REEV,山海L7,SUV,,,
350K,捷途,山海L9,2026年2月,新能源,PHEV 和 REEV,山海L9,SUV,,,
350K,捷途,山海T1,2026年2月,新能源,PHEV 和 REEV,山海T1,SUV,,,
350K,欧拉,闪电猫,2026年2月,新能源,BEV,闪电猫,轿车,,,
350K,尚界,尚界H5 EV,2026年2月,新能源,BEV,尚界H5,SUV,,,
350K,尚界,尚界H5 REEV,2026年2月,新能源,PHEV 和 REEV,尚界H5,SUV,,,
350K,比亚迪,宋L DM-i,2026年2月,新能源,PHEV 和 REEV,宋L,SUV,,,
350K,比亚迪,宋L EV,2026年2月,新能源,BEV,宋L,SUV,,,
350K,比亚迪,宋PLUS DM-i,2026年2月,新能源,PHEV 和 REEV,宋,SUV,,,
350K,比亚迪,宋PLUS EV,2026年2月,新能源,BEV,宋,SUV,,,
350K,比亚迪,宋Pro DM-i,2026年2月,新能源,PHEV 和 REEV,宋,SUV,,,
350K,方程豹,钛3,2026年2月,新能源,BEV,钛3,SUV,,,
350K,方程豹,钛7 PHEV,2026年2月,新能源,PHEV 和 REEV,钛7,SUV,,,
350K,坦克,坦克300 Hi4-T,2026年2月,新能源,PHEV 和 REEV,坦克300,SUV,,,
350K,坦克,坦克400 Hi4-T,2026年2月,新能源,PHEV 和 REEV,坦克400,SUV,,,
350K,坦克,坦克400 Hi4-Z,2026年2月,新能源,PHEV 和 REEV,坦克400,SUV,,,
350K,坦克,坦克500 Hi4-T,2026年2月,新能源,PHEV 和 REEV,坦克500,SUV,343021.4126,553,355573.044219323
350K,坦克,坦克500 Hi4-Z,2026年2月,新能源,PHEV 和 REEV,坦克500,SUV,364600,858,355573.044219323
350K,坦克,坦克700 Hi4-T,2026年2月,新能源,PHEV 和 REEV,坦克700,SUV,,,
350K,比亚迪,唐DM-i,2026年2月,新能源,PHEV 和 REEV,唐,SUV,,,
350K,比亚迪,唐L DM,2026年2月,新能源,PHEV 和 REEV,唐L,SUV,,,
350K,比亚迪,唐L EV,2026年2月,新能源,BEV,唐L,SUV,,,
350K,腾势,腾势D9 DM-i,2026年2月,新能源,PHEV 和 REEV,腾势D9,MPV,,,
350K,腾势,腾势D9 EV,2026年2月,新能源,BEV,腾势D9,MPV,,,
350K,腾势,腾势N7,2026年2月,新能源,BEV,腾势N7,SUV,,,
350K,腾势,腾势N8L,2026年2月,新能源,PHEV 和 REEV,腾势N8L,SUV,,,
350K,腾势,腾势N9 PHEV,2026年2月,新能源,PHEV 和 REEV,腾势N9,SUV,394734.16,398,394734.16
350K,腾势,腾势Z9 EV,2026年2月,新能源,BEV,腾势Z9,轿车,,,
350K,腾势,腾势Z9 PHEV,2026年2月,新能源,PHEV 和 REEV,腾势Z9,轿车,,,
350K,腾势,腾势Z9GT EV,2026年2月,新能源,BEV,腾势Z9GT,轿车,,,
350K,腾势,腾势Z9GT PHEV,2026年2月,新能源,PHEV 和 REEV,腾势Z9GT,轿车,,,
350K,红旗,天工05,2026年2月,新能源,BEV,天工05,轿车,,,
350K,红旗,天工06,2026年2月,新能源,BEV,天工06,SUV,,,
350K,红旗,天工08,2026年2月,新能源,BEV,天工08,SUV,,,
350K,宾利,添越 PHEV,2026年2月,新能源,PHEV 和 REEV,添越,SUV,,,
350K,大众,途观L PHEV,2026年2月,新能源,PHEV 和 REEV,途观,SUV,,,
350K,别克,微蓝6,2026年2月,新能源,BEV,微蓝6,轿车,,,
350K,蔚来,蔚来EC6,2026年2月,新能源,BEV,蔚来EC6,SUV,,,
350K,蔚来,蔚来EC7,2026年2月,新能源,BEV,蔚来EC7,SUV,,,
350K,蔚来,蔚来ES6,2026年2月,新能源,BEV,蔚来ES6,SUV,,,
350K,蔚来,蔚来ES8,2026年2月,新能源,BEV,蔚来ES8,SUV,,,
350K,蔚来,蔚来ET5,2026年2月,新能源,BEV,蔚来ET5,轿车,,,
350K,蔚来,蔚来ET5T,2026年2月,新能源,BEV,蔚来ET5,轿车,,,
350K,蔚来,蔚来ET7,2026年2月,新能源,BEV,蔚来ET7,轿车,,,
350K,蔚来,蔚来ET9,2026年2月,新能源,BEV,蔚来ET9,轿车,,,
350K,AITO,问界M5 EV,2026年2月,新能源,BEV,问界M5,SUV,,,
350K,AITO,问界M5 REEV,2026年2月,新能源,PHEV 和 REEV,问界M5,SUV,,,
350K,AITO,问界M7 EV,2026年2月,新能源,BEV,问界M7,SUV,,,
350K,AITO,问界M7 REEV,2026年2月,新能源,PHEV 和 REEV,问界M7,SUV,,,
350K,AITO,问界M8 EV,2026年2月,新能源,BEV,问界M8,SUV,376905.058605059,1016,383330.875160761
350K,AITO,问界M8 REEV,2026年2月,新能源,PHEV 和 REEV,问界M8,SUV,385543.22,2951,383330.875160761
350K,AITO,问界M9 EV,2026年2月,新能源,BEV,问界M9,SUV,,,
350K,AITO,问界M9 REEV,2026年2月,新能源,PHEV 和 REEV,问界M9,SUV,,,
350K,五菱,五菱缤果,2026年2月,新能源,BEV,五菱缤果,轿车,,,
350K,五菱,五菱缤果PLUS,2026年2月,新能源,BEV,五菱缤果,轿车,,,
350K,五菱,五菱缤果S,2026年2月,新能源,BEV,五菱缤果,轿车,,,
350K,比亚迪,夏,2026年2月,新能源,PHEV 和 REEV,夏,MPV,,,
350K,享界,享界S9 EV,2026年2月,新能源,BEV,享界S9,轿车,,,
350K,享界,享界S9 REEV,2026年2月,新能源,PHEV 和 REEV,享界S9,轿车,,,
350K,享界,享界S9T EV,2026年2月,新能源,BEV,享界S9T,轿车,,,
350K,享界,享界S9T REEV,2026年2月,新能源,PHEV 和 REEV,享界S9T,轿车,,,
350K,宝骏,享境EV,2026年2月,新能源,BEV,享境,轿车,,,
350K,宝骏,享境PHEV,2026年2月,新能源,PHEV 和 REEV,享境,轿车,,,
350K,广汽传祺,向往M8,2026年2月,新能源,PHEV 和 REEV,向往M8,MPV,,,
350K,广汽传祺,向往S7 PHEV,2026年2月,新能源,PHEV 和 REEV,向往S7,SUV,,,
350K,广汽传祺,向往S9,2026年2月,新能源,PHEV 和 REEV,向往S9,SUV,,,
350K,奇瑞QQ,小蚂蚁,2026年2月,新能源,BEV,eQ,轿车,,,
350K,小米,小米SU7,2026年2月,新能源,BEV,小米SU7,轿车,,,
350K,五菱,星光560 EV,2026年2月,新能源,BEV,星光560,SUV,,,
350K,五菱,星光560 PHEV,2026年2月,新能源,PHEV 和 REEV,星光560,SUV,,,
350K,五菱,星光730 EV,2026年2月,新能源,BEV,星光730,MPV,,,
350K,五菱,星光730 PHEV,2026年2月,新能源,PHEV 和 REEV,星光730,MPV,,,
350K,五菱,星光EV,2026年2月,新能源,BEV,星光,轿车,,,
350K,五菱,星光PHEV,2026年2月,新能源,PHEV 和 REEV,星光,轿车,,,
350K,五菱,星光S EV,2026年2月,新能源,BEV,星光S,SUV,,,
350K,五菱,星光S PHEV,2026年2月,新能源,PHEV 和 REEV,星光S,SUV,,,
350K,东风风行,星海S7 EV,2026年2月,新能源,BEV,星海S7,轿车,,,
350K,东风风行,星海S7 REEV,2026年2月,新能源,PHEV 和 REEV,星海S7,轿车,,,
350K,东风风行,星海V9,2026年2月,新能源,PHEV 和 REEV,星海V9,MPV,,,
350K,星途,星纪元ES EV,2026年2月,新能源,BEV,星纪元ES,轿车,,,
350K,星途,星纪元ES REEV,2026年2月,新能源,PHEV 和 REEV,星纪元ES,轿车,,,
350K,星途,星纪元ET EV,2026年2月,新能源,BEV,星纪元ET,SUV,,,
350K,星途,星纪元ET REEV,2026年2月,新能源,PHEV 和 REEV,星纪元ET,SUV,,,
350K,星途,星途揽月C-DM,2026年2月,新能源,PHEV 和 REEV,星途揽月,SUV,,,
350K,星途,星途瑶光C-DM,2026年2月,新能源,PHEV 和 REEV,星途瑶光,SUV,,,
350K,星途,星途ET5,2026年2月,新能源,PHEV 和 REEV,星途ET5,SUV,,,
350K,吉利银河,星愿,2026年2月,新能源,BEV,星愿,轿车,,,
350K,吉利银河,熊猫mini,2026年2月,新能源,BEV,熊猫mini,轿车,,,
350K,本田,雅阁e:PHEV,2026年2月,新能源,PHEV 和 REEV,雅阁,轿车,,,
350K,钇为,钇为3,2026年2月,新能源,BEV,钇为3,轿车,,,
350K,雷诺江铃,易至EV2,2026年2月,新能源,BEV,易至EV2,轿车,,,
350K,易至,易至EV3,2026年2月,新能源,BEV,易至EV3,轿车,,,
350K,雷诺江铃,羿,2026年2月,新能源,BEV,羿,轿车,,,
350K,易至,羿驰05,2026年2月,新能源,BEV,羿驰05,轿车,,,
350K,长安,逸动PHEV,2026年2月,新能源,PHEV 和 REEV,逸动,轿车,,,
350K,吉利银河,翼真L380,2026年2月,新能源,BEV,翼真L380,MPV,,,
350K,吉利银河,银河星舰7 EM-i,2026年2月,新能源,PHEV 和 REEV,银河星舰7,SUV,,,
350K,吉利银河,银河星耀6,2026年2月,新能源,PHEV 和 REEV,银河星耀6,轿车,,,
350K,吉利银河,银河星耀8,2026年2月,新能源,PHEV 和 REEV,银河星耀8,轿车,,,
350K,吉利银河,银河A7,2026年2月,新能源,PHEV 和 REEV,银河A7,轿车,,,
350K,吉利银河,银河E5,2026年2月,新能源,BEV,银河E5,SUV,,,
350K,吉利银河,银河E8,2026年2月,新能源,BEV,银河E8,轿车,,,
350K,吉利银河,银河L6,2026年2月,新能源,PHEV 和 REEV,银河L6,轿车,,,
350K,吉利银河,银河L7,2026年2月,新能源,PHEV 和 REEV,银河L7,SUV,,,
350K,吉利银河,银河M9,2026年2月,新能源,PHEV 和 REEV,银河M9,SUV,,,
350K,吉利银河,银河V900,2026年2月,新能源,PHEV 和 REEV,银河V900,MPV,,,
350K,本田,英仕派e:PHEV,2026年2月,新能源,PHEV 和 REEV,英仕派,轿车,,,
350K,萤火虫,萤火虫,2026年2月,新能源,BEV,萤火虫,轿车,,,
350K,大众,与众06,2026年2月,新能源,BEV,与众06,SUV,,,
350K,比亚迪,元PLUS,2026年2月,新能源,BEV,元,SUV,,,
350K,比亚迪,元UP,2026年2月,新能源,BEV,元,SUV,,,
350K,宝骏,悦也,2026年2月,新能源,BEV,悦也,SUV,,,
350K,宝骏,悦也Plus,2026年2月,新能源,BEV,悦也,SUV,,,
350K,奔腾,悦意03,2026年2月,新能源,BEV,悦意03,SUV,,,
350K,奔腾,悦意07,2026年2月,新能源,PHEV 和 REEV,悦意07,SUV,,,
350K,宝骏,云海 EV,2026年2月,新能源,BEV,云海,SUV,,,
350K,宝骏,云海 PHEV,2026年2月,新能源,PHEV 和 REEV,云海,SUV,,,
350K,别克,至境世家 PHEV,2026年2月,新能源,PHEV 和 REEV,至境世家,MPV,,,
350K,别克,至境L7,2026年2月,新能源,PHEV 和 REEV,至境L7,轿车,,,
350K,智己,智己L6,2026年2月,新能源,BEV,智己L6,轿车,,,
350K,智己,智己L7,2026年2月,新能源,BEV,智己L7,轿车,,,
350K,智己,智己LS6 EV,2026年2月,新能源,BEV,智己LS6,SUV,,,
350K,智己,智己LS6 REEV,2026年2月,新能源,PHEV 和 REEV,智己LS6,SUV,,,
350K,智己,智己LS7,2026年2月,新能源,BEV,智己LS7,SUV,,,
350K,智己,智己LS9,2026年2月,新能源,PHEV 和 REEV,智己LS9,SUV,,,
350K,智界,智界R7 EV,2026年2月,新能源,BEV,智界R7,SUV,,,
350K,智界,智界R7 REEV,2026年2月,新能源,PHEV 和 REEV,智界R7,SUV,,,
350K,智界,智界S7,2026年2月,新能源,BEV,智界S7,轿车,,,
350K,福特,智趣烈马 EV,2026年2月,新能源,BEV,智趣烈马,SUV,,,
350K,福特,智趣烈马 REEV,2026年2月,新能源,PHEV 和 REEV,智趣烈马,SUV,,,
350K,捷途,纵横G700,2026年2月,新能源,PHEV 和 REEV,纵横G700,SUV,360673.852226148,139,360673.852226148
350K,尊界,尊界S800 EV,2026年2月,新能源,BEV,尊界S800,轿车,,,
350K,尊界,尊界S800 REEV,2026年2月,新能源,PHEV 和 REEV,尊界S800,轿车,,,
350K,启源,A06 EV,2026年2月,新能源,BEV,A06,轿车,,,
350K,启源,A06 REEV,2026年2月,新能源,PHEV 和 REEV,A06,轿车,,,
350K,启源,A07 EV,2026年2月,新能源,BEV,A07,轿车,,,
350K,启源,A07 REEV,2026年2月,新能源,PHEV 和 REEV,A07,轿车,,,
350K,埃安,AION i60 EV,2026年2月,新能源,BEV,AION i60,SUV,,,
350K,埃安,AION i60 REEV,2026年2月,新能源,PHEV 和 REEV,AION i60,SUV,,,
350K,埃安,AION LX,2026年2月,新能源,BEV,AION LX,SUV,,,
350K,埃安,AION RT,2026年2月,新能源,BEV,AION RT,轿车,,,
350K,埃安,AION UT,2026年2月,新能源,BEV,AION UT,轿车,,,
350K,埃安,AION UT super,2026年2月,新能源,BEV,AION UT super,轿车,,,
350K,埃安,AION V EV,2026年2月,新能源,BEV,AION V,SUV,,,
350K,埃安,AION Y,2026年2月,新能源,BEV,AION Y,SUV,,,
350K,奔驰,AMG GT PHEV,2026年2月,新能源,PHEV 和 REEV,AMG GT,跑车,,,
350K,迈凯伦,Artura,2026年2月,新能源,PHEV 和 REEV,Artura,跑车,,,
350K,北京越野,BJ40 REEV,2026年2月,新能源,PHEV 和 REEV,BJ40,SUV,,,
350K,北京越野,BJ60 REEV,2026年2月,新能源,PHEV 和 REEV,BJ60,SUV,,,
350K,丰田,bZ3,2026年2月,新能源,BEV,bZ3,轿车,,,
350K,丰田,bZ5,2026年2月,新能源,BEV,bZ5,SUV,,,
350K,奔驰,C级 eL,2026年2月,新能源,PHEV 和 REEV,C级,轿车,,,
350K,奔驰,C级AMG PHEV,2026年2月,新能源,PHEV 和 REEV,C级AMG,轿车,,,
350K,奔驰,CLA级,2026年2月,新能源,BEV,CLA级,轿车,,,
350K,长安,CS55 PLUS PHEV,2026年2月,新能源,PHEV 和 REEV,CS55,SUV,,,
350K,MG,Cyberster,2026年2月,新能源,BEV,Cyberster,跑车,,,
350K,荣威,D5X DMH,2026年2月,新能源,PHEV 和 REEV,D5X,SUV,,,
350K,荣威,D6,2026年2月,新能源,BEV,D6,轿车,,,
350K,荣威,D7 DMH,2026年2月,新能源,PHEV 和 REEV,D7,轿车,,,
350K,荣威,D7 EV,2026年2月,新能源,BEV,D7,轿车,,,
350K,奥迪,E5 Sportback,2026年2月,新能源,BEV,E5 Sportback,轿车,,,
350K,广汽传祺,E8,2026年2月,新能源,PHEV 和 REEV,E8,MPV,,,
350K,广汽传祺,E9,2026年2月,新能源,PHEV 和 REEV,E9,MPV,,,
350K,启源,E07 EV,2026年2月,新能源,BEV,E07,SUV,,,
350K,启源,E07 REEV,2026年2月,新能源,PHEV 和 REEV,E07,SUV,,,
350K,红旗,E-QM5,2026年2月,新能源,BEV,E-QM5,轿车,,,
350K,本田,e:NS2猎光,2026年2月,新能源,BEV,e:NS2猎光,SUV,,,
350K,奔驰,E级 PHEV,2026年2月,新能源,PHEV 和 REEV,E级,轿车,,,
350K,红旗,EH7,2026年2月,新能源,BEV,EH7,轿车,,,
350K,莲花跑车,ELETRE,2026年2月,新能源,BEV,ELETRE,SUV,,,
350K,沃尔沃,EM90 EV,2026年2月,新能源,BEV,EM90,MPV,,,
350K,莲花跑车,EMEYA,2026年2月,新能源,BEV,EMEYA,轿车,,,
350K,现代,EO 羿欧,2026年2月,新能源,BEV,EO 羿欧,SUV,,,
350K,奔驰,EQA,2026年2月,新能源,BEV,EQA,SUV,,,
350K,奔驰,EQB,2026年2月,新能源,BEV,EQB,SUV,,,
350K,奔驰,EQE,2026年2月,新能源,BEV,EQE,轿车,,,
350K,奔驰,EQE AMG,2026年2月,新能源,BEV,EQE AMG,轿车,,,
350K,奔驰,EQE SUV,2026年2月,新能源,BEV,EQE SUV,SUV,,,
350K,奔驰,EQE SUV AMG,2026年2月,新能源,BEV,EQE SUV AMG,SUV,,,
350K,奔驰,EQS,2026年2月,新能源,BEV,EQS,轿车,,,
350K,奔驰,EQS AMG,2026年2月,新能源,BEV,EQS,轿车,,,
350K,奔驰,EQS SUV,2026年2月,新能源,BEV,EQS SUV,SUV,,,
350K,梅赛德斯-迈巴赫,EQS SUV,2026年2月,新能源,BEV,EQS SUV,SUV,,,
350K,荣威,eRX5 PHEV,2026年2月,新能源,PHEV 和 REEV,RX5,SUV,,,
350K,广汽传祺,ES9,2026年2月,新能源,PHEV 和 REEV,ES9,SUV,,,
350K,北京汽车,EU5 PLUS,2026年2月,新能源,BEV,EU系列,轿车,,,
350K,起亚,EV5,2026年2月,新能源,BEV,EV5,SUV,,,
350K,创维汽车,EV6,2026年2月,新能源,BEV,EV6,SUV,,,
350K,起亚,EV6,2026年2月,新能源,BEV,EV6,SUV,,,
350K,沃尔沃,EX30,2026年2月,新能源,BEV,EX30,SUV,,,
350K,马自达,EZ-6 EV,2026年2月,新能源,BEV,EZ-6,轿车,,,
350K,马自达,EZ-6 REEV,2026年2月,新能源,PHEV 和 REEV,EZ-6,轿车,,,
350K,马自达,EZ-60 EV,2026年2月,新能源,BEV,EZ-60,SUV,,,
350K,马自达,EZ-60 REEV,2026年2月,新能源,PHEV 和 REEV,EZ-60,SUV,,,
350K,东风奕派,eπ007 EV,2026年2月,新能源,BEV,eπ007,轿车,,,
350K,东风奕派,eπ007 REEV,2026年2月,新能源,PHEV 和 REEV,eπ007,轿车,,,
350K,东风奕派,eπ007+ EV,2026年2月,新能源,BEV,eπ007+,轿车,,,
350K,东风奕派,eπ007+ REEV,2026年2月,新能源,PHEV 和 REEV,eπ007+,轿车,,,
350K,东风奕派,eπ008 EV,2026年2月,新能源,BEV,eπ008,SUV,,,
350K,东风奕派,eπ008 REEV,2026年2月,新能源,PHEV 和 REEV,eπ008,SUV,,,
350K,飞凡,F7,2026年2月,新能源,BEV,F7,轿车,,,
350K,小鹏,G6,2026年2月,新能源,BEV,G6,SUV,,,
350K,小鹏,G7,2026年2月,新能源,BEV,G7,SUV,,,
350K,小鹏,G7 REEV,2026年2月,新能源,PHEV 和 REEV,G7,SUV,,,
350K,小鹏,G9,2026年2月,新能源,BEV,G9,SUV,,,
350K,深蓝,G318,2026年2月,新能源,PHEV 和 REEV,G318,SUV,,,
350K,奔驰,G级 EV,2026年2月,新能源,BEV,G级,SUV,,,
350K,别克,GL8 PHEV,2026年2月,新能源,PHEV 和 REEV,GL8,MPV,,,
350K,奔驰,GLC级 e,2026年2月,新能源,PHEV 和 REEV,GLC级,SUV,387700,28,356028.679784087
350K,奔驰,GLE级 e,2026年2月,新能源,PHEV 和 REEV,GLE级,SUV,,,
350K,红旗,H5 PHEV,2026年2月,新能源,PHEV 和 REEV,H5,轿车,,,
350K,红旗,HQ9 PHEV,2026年2月,新能源,PHEV 和 REEV,HQ9,MPV,341377.760105397,39,358077.629675052
350K,红旗,HS3 PHEV,2026年2月,新能源,PHEV 和 REEV,HS3,SUV,,,
350K,红旗,HS6 PHEV,2026年2月,新能源,PHEV 和 REEV,HS6,SUV,,,
350K,红旗,HS7 PHEV,2026年2月,新能源,PHEV 和 REEV,HS7,SUV,,,
350K,创维汽车,HT-i,2026年2月,新能源,PHEV 和 REEV,HT-i,SUV,,,
350K,宝马,i3,2026年2月,新能源,BEV,i3,轿车,,,
350K,宝马,i4,2026年2月,新能源,BEV,i4,轿车,,,
350K,宝马,i5,2026年2月,新能源,BEV,i5,轿车,,,
350K,宝马,i7,2026年2月,新能源,BEV,i7,轿车,,,
350K,iCAR,iCAR V23,2026年2月,新能源,BEV,iCAR V23,SUV,,,
350K,大众,ID.3,2026年2月,新能源,BEV,ID.3,轿车,,,
350K,大众,ID.4 CROZZ,2026年2月,新能源,BEV,ID.4 CROZZ,SUV,,,
350K,大众,ID.4 X,2026年2月,新能源,BEV,ID.4 X,SUV,,,
350K,大众,ID.6 CROZZ,2026年2月,新能源,BEV,ID.6 CROZZ,SUV,,,
350K,大众,ID.6 X,2026年2月,新能源,BEV,ID.6 X,SUV,,,
350K,大众,ID.7 VIZZION,2026年2月,新能源,BEV,ID.7 VIZZION,轿车,,,
350K,荣威,iMAX8 DMH,2026年2月,新能源,PHEV 和 REEV,iMAX8,MPV,,,
350K,现代,IONIQ 5 N,2026年2月,新能源,BEV,IONIQ 5,SUV,,,
350K,凯迪拉克,IQ傲歌,2026年2月,新能源,BEV,IQ傲歌,SUV,,,
350K,凯迪拉克,IQ锐歌,2026年2月,新能源,BEV,IQ锐歌,SUV,,,
350K,宝马,iX,2026年2月,新能源,BEV,iX,SUV,,,
350K,宝马,iX1,2026年2月,新能源,BEV,iX1,SUV,,,
350K,深蓝,L06 EV,2026年2月,新能源,BEV,L06,轿车,,,
350K,深蓝,L07 EV,2026年2月,新能源,BEV,L07,轿车,,,
350K,深蓝,L07 REEV,2026年2月,新能源,PHEV 和 REEV,L07,轿车,,,
350K,启源,Lumin,2026年2月,新能源,BEV,Lumin,轿车,,,
350K,宝马,M5 PHEV,2026年2月,新能源,PHEV 和 REEV,M5,轿车,,,
350K,荣威,M7 DMH,2026年2月,新能源,PHEV 和 REEV,M7,轿车,,,
350K,保时捷,Macan EV,2026年2月,新能源,BEV,Macan,SUV,,,
350K,MG,MG ES5,2026年2月,新能源,BEV,MG ES5,SUV,,,
350K,MG,MG4 EV,2026年2月,新能源,BEV,MG4 EV,轿车,,,
350K,MINI,MINI ACEMAN,2026年2月,新能源,BEV,MINI ACEMAN,SUV,,,
350K,MINI,MINI COOPER,2026年2月,新能源,BEV,MINI COOPER,轿车,,,
350K,特斯拉,MODEL 3,2026年2月,新能源,BEV,MODEL 3,轿车,,,
350K,特斯拉,MODEL S,2026年2月,新能源,BEV,MODEL S,轿车,,,
350K,特斯拉,MODEL X,2026年2月,新能源,BEV,MODEL X,SUV,,,
350K,特斯拉,MODEL Y,2026年2月,新能源,BEV,MODEL Y,SUV,,,
350K,特斯拉,MODEL Y L,2026年2月,新能源,BEV,MODEL Y L,SUV,,,
350K,小鹏,MONA M03,2026年2月,新能源,BEV,MONA M03,轿车,,,
350K,日产,N6,2026年2月,新能源,PHEV 和 REEV,N6,轿车,,,
350K,日产,N7,2026年2月,新能源,BEV,N7,轿车,,,
350K,雷克萨斯,NX PHEV,2026年2月,新能源,PHEV 和 REEV,NX,SUV,,,
350K,本田,P7,2026年2月,新能源,BEV,P7,SUV,,,
350K,小鹏,P7,2026年2月,新能源,BEV,P7,轿车,,,
350K,小鹏,P7+,2026年2月,新能源,BEV,P7+,轿车,,,
350K,小鹏,P7+ REEV,2026年2月,新能源,PHEV 和 REEV,P7+,轿车,,,
350K,保时捷,PANAMERA PHEV,2026年2月,新能源,PHEV 和 REEV,PANAMERA,轿车,,,
350K,Polestar,Polestar 4,2026年2月,新能源,BEV,Polestar 4,SUV,,,
350K,奥迪,Q4 e-tron,2026年2月,新能源,BEV,Q4,SUV,,,
350K,奥迪,Q5 e-tron,2026年2月,新能源,BEV,Q5 e-tron,SUV,,,
350K,奥迪,Q6L e-tron,2026年2月,新能源,BEV,Q6,SUV,362560.5816,90,356343.351834941
350K,奥迪,Q6L Sportback e-tron,2026年2月,新能源,BEV,Q6,SUV,384863.9392,12,356343.351834941
350K,启源,Q05,2026年2月,新能源,BEV,Q05,SUV,,,
350K,启源,Q07,2026年2月,新能源,PHEV 和 REEV,Q07,SUV,,,
350K,奇瑞QQ,QQ冰淇淋,2026年2月,新能源,BEV,QQ冰淇淋,轿车,,,
350K,飞凡,R7,2026年2月,新能源,BEV,R7,SUV,,,
350K,兰博基尼,Revuelto,2026年2月,新能源,PHEV 和 REEV,Revuelto,跑车,,,
350K,雷克萨斯,RX PHEV,2026年2月,新能源,PHEV 和 REEV,RX,SUV,469000,3,386307.7926122
350K,雷克萨斯,RZ,2026年2月,新能源,BEV,RZ,SUV,,,
350K,本田,S7,2026年2月,新能源,BEV,S7,SUV,,,
350K,深蓝,S05 EV,2026年2月,新能源,BEV,S05,SUV,,,
350K,深蓝,S05 REEV,2026年2月,新能源,PHEV 和 REEV,S05,SUV,,,
350K,深蓝,S07 EV,2026年2月,新能源,BEV,S07,SUV,,,
350K,深蓝,S07 REEV,2026年2月,新能源,PHEV 和 REEV,S07,SUV,,,
350K,深蓝,S09,2026年2月,新能源,PHEV 和 REEV,S09,SUV,,,
350K,沃尔沃,S90 RECHARGE,2026年2月,新能源,PHEV 和 REEV,S90,轿车,,,
350K,奔驰,S级 eL,2026年2月,新能源,PHEV 和 REEV,S级,轿车,,,
350K,梅赛德斯-迈巴赫,S级PHEV,2026年2月,新能源,PHEV 和 REEV,S级,轿车,,,
350K,东风风神,SKY EV01,2026年2月,新能源,BEV,SKY EV01,SUV,,,
350K,深蓝,SL03 EV,2026年2月,新能源,BEV,SL03,轿车,,,
350K,深蓝,SL03 REEV,2026年2月,新能源,PHEV 和 REEV,SL03,轿车,,,
350K,小米,SU7 Ultra,2026年2月,新能源,BEV,小米SU7,轿车,,,
350K,保时捷,Taycan,2026年2月,新能源,BEV,Taycan,轿车,,,
350K,保时捷,Taycan Cross Turismo,2026年2月,新能源,BEV,Taycan,轿车,,,
350K,仰望,U7 EV,2026年2月,新能源,BEV,U7,轿车,,,
350K,仰望,U7 PHEV,2026年2月,新能源,PHEV 和 REEV,U7,轿车,,,
350K,仰望,U8,2026年2月,新能源,PHEV 和 REEV,U8,SUV,,,
350K,仰望,U8L,2026年2月,新能源,PHEV 和 REEV,U8L,SUV,,,
350K,仰望,U9,2026年2月,新能源,BEV,U9,跑车,,,
350K,长安,UNI-K 智电iDD,2026年2月,新能源,PHEV 和 REEV,UNI-K,SUV,,,
350K,长安,UNI-V 智电iDD,2026年2月,新能源,PHEV 和 REEV,UNI-V,轿车,,,
350K,长安,UNI-Z 智电iDD,2026年2月,新能源,PHEV 和 REEV,UNI-Z,SUV,,,
350K,启辰,VX6,2026年2月,新能源,BEV,VX6,SUV,,,
350K,小鹏,X9 EV,2026年2月,新能源,BEV,X9,MPV,,,
350K,小鹏,X9 REEV,2026年2月,新能源,PHEV 和 REEV,X9,MPV,,,
